donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
United Kingdom,Brazil,309568,Environmental policy and administrative management
United Kingdom,Brazil,247092,Agricultural policy and administrative management
United Kingdom,Brazil,159749,Social/ welfare services
United Kingdom,Brazil,1247660,Environmental policy and administrative management
United Kingdom,Brazil,642582,Strengthening civil society
United Kingdom,Brazil,94279,Forestry development
United Kingdom,Brazil,6733,Privatisation
United Kingdom,Brazil,148584,Mineral/mining policy and administrative management
United Kingdom,Brazil,13162,Environmental policy and administrative management
United Kingdom,Brazil,80018,Public sector financial management
United Kingdom,Brazil,33834,Environmental policy and administrative management
United Kingdom,Brazil,16799,Energy research
United Kingdom,Brazil,5617,"Civilian peace-building, conflict prevention and resolution"
United Kingdom,Colombia,62018,Strengthening civil society
United Kingdom,Colombia,84518,Legal and judicial development
United Kingdom,Colombia,99608,Strengthening civil society
United Kingdom,Colombia,118877,Strengthening civil society
United Kingdom,Colombia,109353,Strengthening civil society
United Kingdom,Colombia,66552,Strengthening civil society
United Kingdom,Colombia,105073,Media and free flow of information
United Kingdom,Colombia,481243,Education policy and administrative management
United Kingdom,Colombia,6787853,Formal sector financial intermediaries
United Kingdom,India,2047,Financial policy and administrative management
United Kingdom,India,47588,Basic life skills for youth and adults
United Kingdom,India,172691,Financial policy and administrative management
United Kingdom,India,88697,Environmental policy and administrative management
United Kingdom,India,51242,Transport policy and administrative management
United Kingdom,India,83723,Environmental policy and administrative management
United Kingdom,India,524433,Environmental policy and administrative management
United Kingdom,India,91387193,Formal sector financial intermediaries
United Kingdom,India,811534,Financial policy and administrative management
United Kingdom,India,33834377,Sectors not specified
United Kingdom,India,169172,STD control including HIV/AIDS
United Kingdom,India,1268789,Bio-diversity
United Kingdom,India,32413,Social/ welfare services
United Kingdom,India,1011411,Social/welfare services
United Kingdom,India,123022,Post-conflict peace-building (UN)
United Kingdom,India,20673,Disaster prevention and preparedness
United Kingdom,India,28420876,Public sector financial management
United Kingdom,India,191418,Social/ welfare services
United Kingdom,India,126879,Strengthening civil society
United Kingdom,India,84586,Research/scientific institutions
United Kingdom,India,734155,Strengthening civil society
United Kingdom,India,552904,Social/ welfare services
United Kingdom,India,12147,Legal and judicial development
United Kingdom,India,2500614,Economic and development policy/planning
United Kingdom,India,10694319,Primary education
United Kingdom,India,3681485,Economic and development policy/planning
United Kingdom,India,5222454,Strengthening civil society
United Kingdom,India,7020633,STD control including HIV/AIDS
United Kingdom,India,239886,Strengthening civil society
United Kingdom,India,12586,Informal/semi-formal financial intermediaries
United Kingdom,India,228382042,Primary education
United Kingdom,India,151967,Strengthening civil society
United Kingdom,India,118979,Social/ welfare services
United Kingdom,India,84585941,Urban development and management
United Kingdom,India,597041,Basic health care
United Kingdom,India,365377,Strengthening civil society
United Kingdom,India,16917188,Primary education
United Kingdom,India,312850,Strengthening civil society
United Kingdom,India,302310,Strengthening civil society
United Kingdom,India,586942,Strengthening civil society
United Kingdom,India,64742,Trade policy and administrative management
United Kingdom,India,833273,Informal/semi-formal financial intermediaries
United Kingdom,India,21158920,Rural development
United Kingdom,India,309382,Strengthening civil society
United Kingdom,India,31937858,Health policy and administrative management
United Kingdom,India,345331,Small and medium-sized enterprises (SME) development
United Kingdom,India,69191,Strengthening civil society
United Kingdom,India,1878,Higher education
United Kingdom,India,18575,Agricultural policy and administrative management
United Kingdom,India,1032,Medical research
United Kingdom,India,6784,Education/training in banking and financial services
United Kingdom,India,23684064,General budget support
United Kingdom,India,764335,Strengthening civil society
United Kingdom,India,592406,Strengthening civil society
United Kingdom,India,173520,Energy policy and admin. management
United Kingdom,India,845859,Economic and development policy/planning
United Kingdom,India,186089,Agricultural land resources
United Kingdom,India,721670,Small and medium-sized enterprises (SME) development
United Kingdom,India,130364,Power generation/renewable sources
United Kingdom,India,69868,Business support services and institutions
United Kingdom,India,48062,"Government and civil society, general, combination of activities"
United Kingdom,India,86503217,STD control including HIV/AIDS
United Kingdom,India,770798,Strengthening civil society
United Kingdom,India,733749,Strengthening civil society
United Kingdom,India,4382398,Social/ welfare services
United Kingdom,India,1196942,Social/ welfare services
United Kingdom,India,2197983,Social/ welfare services
United Kingdom,India,1809226,Agricultural land resources
United Kingdom,India,2537578,Trade policy and administrative management
United Kingdom,India,1268789,Basic drinking water supply and basic sanitation
United Kingdom,India,1622189,Higher education
United Kingdom,India,12894941,Public sector financial management
United Kingdom,India,13589307,Agricultural land resources
United Kingdom,India,189320,Primary education
United Kingdom,India,436396,Promotion of development awareness
United Kingdom,India,131853,Research/scientific institutions
United Kingdom,India,16917188,Urban development and management
United Kingdom,India,677229,Energy policy and administrative management
United Kingdom,India,42166092,Strengthening civil society
United Kingdom,India,15195628,Business support services and institutions
United Kingdom,India,8441677,Government administration
United Kingdom,India,2537578,Health policy and administrative management
United Kingdom,Thailand,17002,"Civilian peace-building, conflict prevention and resolution"
United Kingdom,Thailand,10336,"Civilian peace-building, conflict prevention and resolution"
United Kingdom,Thailand,155537,Strengthening civil society
United Kingdom,Thailand,9310036,Formal sector financial intermediaries
United Kingdom,Thailand,9389,Environmental policy and administrative management
United Kingdom,Thailand,225016,Higher education
United Kingdom,Thailand,755386,Strengthening civil society
United Kingdom,Thailand,753559,Education policy and administrative management
United Kingdom,Thailand,24513,Media and free flow of information
United Kingdom,Thailand,44408,Post-conflict peace-building (UN)
United Kingdom,Thailand,8543,Strengthening civil society
United Kingdom,Thailand,7647,Strengthening civil society
Finland,Brazil,7197,Support to local and regional NGOs
Finland,Chile,94664,Technological research and development
Finland,India,118690,Small and medium-sized enterprises (SME) development
Finland,India,59604,Industrial development
Finland,South Africa,1375453,Small and medium-sized enterprises (SME) development
Finland,South Africa,46716,Infectious & Parasitic disease control
Finland,South Africa,7197,Cottage industries and handicraft
Finland,South Africa,586218,Rural development
Finland,South Africa,1853969,Communications policy & admin. mgmt
Finland,South Africa,59072,Information and communication technology (ICT)
Finland,South Africa,1095002,Information and communication technology (ICT)
Finland,South Africa,46863,Primary education
Finland,South Africa,46985,Information and communication technology (ICT)
Finland,South Africa,403057,Communications policy and administrative management
Finland,South Africa,501662,STD control including HIV/AIDS
Finland,South Africa,1414924,Trade education/training
Finland,South Africa,115159,Support to local and regional NGOs
Finland,South Africa,143949,Support to local and regional NGOs
Finland,South Africa,9527,Higher education
Finland,South Africa,35987,Women in development
Finland,South Africa,64777,Support to local and regional NGOs
Finland,South Africa,71975,Support to local and regional NGOs
Finland,South Africa,71975,Support to local and regional NGOs
Finland,South Africa,35987,Support to local and regional NGOs
Finland,South Africa,30949,Basic life skills for youth and adults
Finland,South Africa,71975,Support to local and regional NGOs
Finland,South Africa,18713,Social/ welfare services
Finland,South Africa,35987,Strengthening civil society
Finland,South Africa,20542,Information and communication technology (ICT)
Finland,South Africa,1365475,Information and communication technology (ICT)
Finland,South Africa,115159,Basic life skills for youth and adults
Finland,South Africa,71975,"Civilian peace-building, conflict prevention and resolution"
Finland,South Africa,71975,Public sector financial management
Finland,South Africa,35987,Strengthening civil society
Finland,South Africa,33108,Support to local and regional NGOs
Finland,South Africa,83382,Support to local and regional NGOs
Finland,South Africa,29941,Strengthening civil society
Finland,South Africa,86369,Support to local and regional NGOs
Finland,South Africa,71975,Support to local and regional NGOs
Finland,South Africa,37787,Basic life skills for youth and adults
Finland,South Africa,14395,Support to local and regional NGOs
Finland,South Africa,14395,Support to local and regional NGOs
Finland,South Africa,21592,Agricultural education/training
Finland,South Africa,21592,Support to local and regional NGOs
Finland,South Africa,71975,Support to local and regional NGOs
Finland,South Africa,86369,Cottage industries and handicraft
Finland,South Africa,95726,Agricultural education/training
Finland,South Africa,50382,Strengthening civil society
Finland,India,189279,Industrial development
Finland,Chile,109273,Administrative costs
Luxembourg,India,21441,Rural development
Finland,Thailand,79117,Industrial development
Finland,Brazil,555814,Administrative costs
Finland,Brazil,43185,Strengthening civil society
Finland,Brazil,208558,Social/ welfare services
Finland,Brazil,538370,Basic life skills for youth and adults
Finland,Brazil,197495,Power generation/renewable sources
Finland,Brazil,57580,Strengthening civil society
Finland,Brazil,56140,Environmental education/ training
Finland,Colombia,523910,Administrative costs
Finland,Colombia,14827,Environmental education/ training
Finland,India,159467,Medical education/training
Finland,India,146828,Reconstruction relief and rehabilitation
Finland,India,316573,Rural development
Finland,India,110841,Infectious & Parasitic disease control
Finland,India,532612,Environmental research
Finland,India,28790,Sectors not specified
Finland,India,14395,Administrative costs
Finland,India,35987,Power generation/renewable sources
Finland,India,28790,Social/ welfare services
Finland,India,146828,"Civilian peace-building, conflict prevention and resolution"
Finland,India,46064,Site preservation
Finland,India,29927,Construction policy and administrative management
Finland,India,92127,Support to local and regional NGOs
Finland,India,143157,Democratic participation and civil society
Finland,India,219350,Vocational training
Finland,India,63582,Industrial development
Finland,India,97766,Strengthening civil society
Finland,India,2733593,Industrial development
Finland,India,28790,Strengthening civil society
Finland,India,78285,Sme development
Finland,India,157305,Industrial development
Finland,India,42963,Strengthening civil society
Finland,India,374536,Administrative costs
Finland,India,85203,Industrial development
Finland,India,151086,Industrial development
Finland,India,76859,Construction policy and administrative management
Luxembourg,India,81565,Agricultural land resources
Finland,Thailand,28832,Administrative costs
Ireland,South Africa,127705,Sectors not specified
Ireland,South Africa,17707,Basic health care
Ireland,South Africa,17707,Teacher training
Ireland,South Africa,749157,Basic drinking water supply and basic sanitation
Ireland,South Africa,17707,Teacher training
Ireland,South Africa,408631,STD control including HIV/AIDS
Luxembourg,South Africa,19471,Basic life skills for youth and adults
Ireland,South Africa,1362104,Basic drinking water supply and basic sanitation
Ireland,South Africa,115779,Democratic participation and civil society
Ireland,South Africa,95347,Social/ welfare services
Ireland,South Africa,217937,Strengthening civil society
Ireland,South Africa,17707,Education policy & admin. management
Ireland,South Africa,100796,Strengthening civil society
Ireland,South Africa,89899,Higher education
Ireland,South Africa,408631,STD control including HIV/AIDS
Ireland,South Africa,779123,STD control including HIV/AIDS
Ireland,South Africa,17707,Basic nutrition
Ireland,South Africa,17707,Basic nutrition
Ireland,South Africa,17707,Basic nutrition
Ireland,South Africa,17707,Basic nutrition
Ireland,South Africa,17707,Education policy & admin. management
Ireland,South Africa,17707,Basic health care
Ireland,South Africa,272421,Water resources policy and administrative management
Ireland,South Africa,17707,Basic health care
Ireland,South Africa,918058,Administrative costs
Ireland,South Africa,17707,Health education
Ireland,South Africa,35415,Strengthening civil society
Ireland,South Africa,68105,Economic and development policy/planning
Ireland,South Africa,18388,Democratic participation and civil society
Ireland,South Africa,340526,Std control including hiv/aids
Ireland,South Africa,19069,Health education
Ireland,South Africa,612947,STD control including HIV/AIDS
Ireland,South Africa,18797,Std control including hiv/aids
Ireland,South Africa,68105,Social/ welfare services
Ireland,South Africa,272421,STD control including HIV/AIDS
Ireland,South Africa,272421,Strengthening civil society
Ireland,India,35415,Rural development
Ireland,South Africa,34904,Education facilities and training
Ireland,South Africa,16345,Vocational training
Ireland,South Africa,16345,Vocational training
Ireland,South Africa,16888,Democratic participation and civil society
Ireland,South Africa,29626,Multisector aid for basic soc. serv.
Ireland,India,34950,Education facilities and training
Ireland,South Africa,272421,Financial policy and administrative management
Ireland,South Africa,31328,Social/welfare services
Ireland,South Africa,14983,Std control including hiv/aids
Ireland,South Africa,15637,Reconstruction relief
Ireland,South Africa,15637,Education facilities and training
Ireland,South Africa,170263,Strengthening civil society
Ireland,South Africa,17707,Education policy & admin. management
Ireland,South Africa,340526,Std control including hiv/aids
Ireland,South Africa,17622,Education policy & admin. management
Ireland,South Africa,68105,Education facilities and training
Ireland,South Africa,292852,Economic and development policy/planning
Ireland,South Africa,17707,Education facilities and training
Ireland,South Africa,17707,Education policy & admin. management
Ireland,South Africa,39485,Std control including hiv/aids
Ireland,South Africa,136210,Strengthening civil society
Ireland,South Africa,115779,Food security programmes/food aid
Ireland,South Africa,62867,Rural development
Ireland,South Africa,14277,Secondary education
Ireland,South Africa,14983,Teacher training
Ireland,South Africa,15256,"Civilian peace-building, conflict prevention and resolution"
Ireland,South Africa,68105,Strengthening civil society
Ireland,South Africa,347336,Basic drinking water supply and basic sanitation
Ireland,South Africa,408631,Basic drinking water supply and basic sanitation
Ireland,South Africa,1362104,Basic drinking water supply and basic sanitation
Ireland,South Africa,45524,Basic drinking water supply and basic sanitation
Ireland,South Africa,833033,Basic drinking water supply and basic sanitation
Ireland,South Africa,19069,Democratic participation and civil society
Ireland,South Africa,136210,STD control including HIV/AIDS
Ireland,South Africa,143560,Primary education
Ireland,South Africa,462853,STD control including HIV/AIDS
Ireland,South Africa,122852,Basic health care
Japan,India,235380,Energy policy and admin. management
Luxembourg,Brazil,39083,Early childhood education
Luxembourg,Brazil,471702,Social/ welfare services
Luxembourg,Chile,51384,Strengthening civil society
Luxembourg,Chile,44621,Strengthening civil society
Ireland,India,34416,Strengthening civil society
Luxembourg,Chile,26991,Sectors not specified
Luxembourg,Chile,20168,Sectors not specified
Luxembourg,Colombia,117017,Higher education
Luxembourg,Colombia,66038,Agricultural education/training
Ireland,India,391636,Strengthening civil society
Luxembourg,Colombia,28302,Agricultural education/training
Luxembourg,Colombia,314468,Material relief assistance and services
Ireland,India,35415,Strengthening civil society
Luxembourg,Colombia,7245,Social/ welfare services
Luxembourg,Colombia,14703,Agricultural development
Ireland,India,24323,Multisector aid for social services
Ireland,India,34825,Strengthening civil society
Ireland,Brazil,40863,Vocational training
Ireland,Brazil,15637,Cottage industries & handicraft
Ireland,Brazil,15637,Basic health infrastructure
Ireland,Brazil,177424,Medical services
Ireland,Brazil,38585,Strengthening civil society
Ireland,Brazil,15732,Rural development
Ireland,Brazil,18388,Democratic participation and civil society
Ireland,Brazil,15637,Women's equality organisations and institutions
Ireland,Brazil,15637,Women's equality organisations and institutions
Ireland,Brazil,15637,Women's equality organisations and institutions
Ireland,Brazil,19996,Public finance management
Ireland,Brazil,15637,Democratic participation and civil society
Ireland,Brazil,15637,Public finance management
Ireland,Brazil,92423,Education facilities and training
Ireland,Brazil,16578,Std control including hiv/aids
Ireland,Brazil,16578,Std control including hiv/aids
Ireland,Brazil,17030,Democratic participation and civil society
Ireland,Brazil,130560,Strengthening civil society
Ireland,Brazil,17030,Democratic participation and civil society
Ireland,Brazil,17030,Basic health care
Ireland,Brazil,16578,Std control including hiv/aids
Ireland,Brazil,39501,Primary education
Ireland,Brazil,17707,Women's equality organisations and institutions
Ireland,Brazil,17707,Women's equality organisations and institutions
Ireland,Brazil,17707,Std control including hiv/aids
Ireland,Brazil,25545,Democratic participation and civil society
Ireland,Brazil,16255,Women's equality organisations and institutions
Ireland,Brazil,16709,Basic life skills for youth & adults
Ireland,Brazil,17707,Women's equality organisations and institutions
Ireland,Brazil,167841,STD control including HIV/AIDS
Ireland,Chile,17029,Women's equality organisations and institutions
Ireland,Chile,17029,Democratic participation and civil society
Ireland,Chile,17029,Environmental education/training
Luxembourg,South Africa,19471,Basic life skills for youth and adults
Ireland,Chile,17707,Basic life skills for youth & adults
Ireland,Chile,17707,Basic life skills for youth & adults
Ireland,Chile,17707,Communications policy & admin. mgmt
Ireland,Chile,17707,Basic life skills for youth & adults
Ireland,Colombia,189698,Support to national NGOs
Ireland,Colombia,26191,Strengthening civil society
Ireland,Colombia,19258,Strengthening civil society
Ireland,Colombia,25677,Strengthening civil society
Ireland,Colombia,584085,"Civilian peace-building, conflict prevention and resolution"
Ireland,Colombia,44935,Rural development
Ireland,Colombia,15937,Cottage industries & handicraft
Ireland,Colombia,75764,Strengthening civil society
Ireland,Colombia,30813,Strengthening civil society
Ireland,Colombia,119447,Strengthening civil society
Ireland,Colombia,38054,Basic life skills for youth & adults
Ireland,Colombia,170263,Democratic participation and civil society
Ireland,Colombia,170263,Democratic participation and civil society
Ireland,Colombia,35948,Strengthening civil society
Ireland,Colombia,51355,"Civilian peace-building, conflict prevention and resolution"
Ireland,Colombia,21055,Strengthening civil society
Ireland,India,35415,Multisector aid for social services
Ireland,India,35415,Education policy and administrative management
Ireland,India,28104,Multisector aid for social services
Ireland,India,47212,Vocational training
Ireland,India,136210,Material relief assistance and services
Luxembourg,India,5843,Agricultural development
Ireland,India,33263,Social/ welfare services
Ireland,India,20432,Primary education
Ireland,India,35415,Vocational training
Ireland,India,237140,Basic health care
Luxembourg,South Africa,302040,Basic nutrition
Luxembourg,Colombia,471702,Emergency/distress relief
Ireland,India,17707,Primary education
Ireland,India,35415,Education facilities and training
Ireland,India,110599,Disaster prevention and preparedness
Ireland,India,107057,Education facilities and training
Ireland,India,33066,Strengthening civil society
Ireland,India,32089,Strengthening civil society
Ireland,India,25853,Education facilities and training
Ireland,India,15732,Primary education
Ireland,India,42810,Vocational training
Ireland,India,26152,Education facilities and training
Ireland,India,300431,Basic drinking water supply and basic sanitation
Ireland,India,336456,Agricultural development
Ireland,India,385193,Primary education
Ireland,India,57208,Education facilities and training
Ireland,India,55424,Multisector aid for basic soc. serv.
Ireland,India,68105,Informal/semi-formal fin. intermed.
Ireland,India,17707,Primary education
Ireland,India,35415,Housing policy and administrative management
Ireland,India,35415,Basic life skills for youth and adults
Ireland,India,226770,Strengthening civil society
Ireland,India,13962,Vocational training
Ireland,India,222731,Medical services
Ireland,India,69467,Strengthening civil society
Ireland,India,121442,Agricultural land resources
Ireland,India,793615,Strengthening civil society
Ireland,India,149664,Medical services
Luxembourg,Brazil,38757,Social/ welfare services
Luxembourg,Brazil,74430,"Civilian peace-building, conflict prevention and resolution"
Luxembourg,Brazil,281346,Multisector aid for social services
Luxembourg,Brazil,119948,Multisector aid for social services
Luxembourg,Brazil,29513,Housing policy and administrative management
Luxembourg,Brazil,33095,Multisector aid for social services
Luxembourg,Brazil,297857,Multisector aid for social services
Luxembourg,Colombia,16906,Social/ welfare services
Luxembourg,Brazil,94229,Strengthening civil society
Luxembourg,Brazil,27817,Strengthening civil society
Luxembourg,Brazil,147267,Strengthening civil society
Luxembourg,Brazil,18868,Employment policy and admin. mgmt.
Luxembourg,Brazil,18868,Employment policy and admin. mgmt.
Luxembourg,Brazil,4139,Strengthening civil society
Luxembourg,Brazil,39083,Early childhood education
Luxembourg,Colombia,85772,Rural development
Luxembourg,Colombia,4193,Health policy and administrative management
Luxembourg,Colombia,2096,Support to national NGOs
Luxembourg,Colombia,3091,Sectors not specified
Luxembourg,Colombia,786170,Emergency/distress relief
Luxembourg,Colombia,75471,"Civilian peace-building, conflict prevention and resolution"
Luxembourg,Colombia,22830,Social/ welfare services
Luxembourg,Colombia,53271,Social/ welfare services
Luxembourg,Colombia,1065,Sectors not specified
Luxembourg,Colombia,13159,Sectors not specified
Luxembourg,Colombia,14867,Rural development
Luxembourg,Colombia,25157,"Civilian peace-building, conflict prevention and resolution"
Luxembourg,Colombia,99509,Social/ welfare services
Luxembourg,Colombia,99299,Agricultural development
Luxembourg,Colombia,34308,Agricultural development
Luxembourg,Colombia,267298,Reconstruction relief and rehabilitation
Luxembourg,India,18711,Secondary education
Luxembourg,India,12953,Vocational training
Luxembourg,India,5157,Vocational training
Luxembourg,India,15736,Basic life skills for youth & adults
Luxembourg,India,13850,Education facilities and training
Luxembourg,India,10413,Education facilities and training
Luxembourg,India,18919,Education facilities and training
Luxembourg,India,793,Basic health care
Luxembourg,India,43362,Infectious & Parasitic disease control
Luxembourg,India,71956,Social/ welfare services
Luxembourg,India,47335,Social/welfare services
Luxembourg,India,79865,Employment policy and administrative management
Luxembourg,India,42768,Multisector aid for social services
Luxembourg,India,81758,Employment policy and administrative management
Luxembourg,India,44563,Multisector aid for social services
Luxembourg,India,32194,Social/ welfare services
Luxembourg,India,2767,Multisector education/training
Luxembourg,India,17344,Multisector education/training
Luxembourg,India,1927,Multisector education/training
Luxembourg,India,13659,Multisector education/training
Luxembourg,India,3292,Sectors not specified
Luxembourg,India,39309,Material relief assistance and services
Luxembourg,India,21368,Employment policy and administrative management
Luxembourg,India,3577,Social/ welfare services
Luxembourg,India,102595,Employment policy and administrative management
Luxembourg,India,39309,Material relief assistance and services
Luxembourg,India,98212,Strengthening civil society
Luxembourg,India,32162,Rural development
Luxembourg,India,3716,Rural development
Luxembourg,India,45736,Strengthening civil society
Luxembourg,India,9291,Rural development
Luxembourg,India,33885,Strengthening civil society
Luxembourg,India,32378,Strengthening civil society
Luxembourg,India,19845,Education and training in water supply and sanitation
Luxembourg,India,88295,Strengthening civil society
Luxembourg,India,27364,STD control including HIV/AIDS
Luxembourg,India,7054,Support to local and regional NGOs
Luxembourg,India,21037,Agricultural development
Luxembourg,India,9063,Agricultural land resources
Luxembourg,India,23197,Agricultural inputs
Luxembourg,India,5082,Strengthening civil society
Luxembourg,India,3765,Strengthening civil society
Luxembourg,India,3598,Strengthening civil society
Luxembourg,India,10912,Strengthening civil society
Luxembourg,India,1247,Social/welfare services
Luxembourg,India,5259,Social/welfare services
Luxembourg,India,2374,Employment policy and administrative management
Luxembourg,India,11399,Employment policy and administrative management
Luxembourg,India,8874,Employment policy and administrative management
Luxembourg,India,9084,Employment policy and administrative management
Luxembourg,India,18938,Multisector aid for social services
Luxembourg,India,8389,Multisector aid for social services
Luxembourg,India,168398,Secondary education
Luxembourg,India,7547,Multisector aid for social services
Luxembourg,India,10419,Forestry policy and administrative management
Luxembourg,India,1158,Forestry policy and administrative management
Luxembourg,India,2577,Agricultural inputs
Luxembourg,India,14176,Employment policy and administrative management
Luxembourg,India,8549,Employment policy and administrative management
Luxembourg,India,8251,Fishery services
Luxembourg,India,30025,Basic health care
Luxembourg,India,9811,Strengthening civil society
Luxembourg,India,124649,Education facilities and training
Luxembourg,India,93713,Education facilities and training
Luxembourg,India,269536,Education facilities and training
Luxembourg,India,74467,Vocational training
Luxembourg,India,46416,Vocational training
Luxembourg,India,33022,Basic health infrastructure
Luxembourg,India,24907,Multisector education/training
Luxembourg,India,122930,Multisector education/training
Luxembourg,India,44548,Disaster prevention and preparedness
Luxembourg,India,156899,Education policy and administrative management
Luxembourg,India,170269,Education facilities and training
Luxembourg,India,187109,Infectious & Parasitic disease control
Luxembourg,India,33019,Infectious & Parasitic disease control
Luxembourg,Thailand,27662,Social/ welfare services
Luxembourg,Thailand,550319,Emergency/distress relief
Greece,South Africa,5670,Multisector education/training
Greece,South Africa,10231,Multisector education/training
Greece,South Africa,200339,Higher education
Greece,South Africa,410894,Primary education
Greece,South Africa,410894,Secondary education
Greece,Brazil,80468,Social/ welfare services
Greece,Brazil,28419,Sectors not specified
Greece,Brazil,95814,Higher education
Greece,Brazil,10018,Multisector education/training
Greece,Brazil,86663,Primary education
Greece,Brazil,124247,Multisector education/training
Greece,Brazil,86663,Secondary education
Greece,Chile,28987,Secondary education
Greece,Chile,28987,Primary education
Greece,Chile,15176,Multisector education/training
Greece,Chile,17051,Sectors not specified
Greece,Chile,78393,Higher education
Greece,Chile,4988,Multisector education/training
Greece,Colombia,78393,Higher education
Greece,India,69683,Higher education
Greece,India,35524,Agricultural research
Greece,India,19751,Multisector education/training
Greece,Thailand,17947,Primary education
Greece,Thailand,26131,Higher education
Greece,Thailand,17947,Secondary education
Greece,Thailand,11652,Multisector education/training
Greece,Thailand,13257,Higher education
Greece,Thailand,10231,Multisector education/training
Korea,Thailand,22680,Information and communication technology
Korea,Thailand,31823,Basic health care
Spain,South Africa,15602,Environmental research
Spain,South Africa,745,Legal and judicial development
Spain,South Africa,8456,Environmental research
Spain,South Africa,16428,Higher education
Spain,South Africa,3382,Higher education
Spain,South Africa,99473,Higher education
Spain,South Africa,65614,Business support services and institutions
Spain,South Africa,123046,Material relief assistance and services
Spain,South Africa,351629,Government administration
Spain,South Africa,138245,STD control including HIV/AIDS
Australia,India,7092,Housing policy and administrative management
Spain,Chile,19731,Sectors not specified
Spain,Brazil,131945,Culture and recreation
Spain,Brazil,23393,Teacher training
Spain,India,76106,Sectors not specified
Spain,Brazil,116119,Culture and recreation
Spain,Brazil,230434,Culture and recreation
Spain,Brazil,97495,Teacher training
Spain,Brazil,401204,Culture and recreation
Spain,Chile,39462,Sectors not specified
Spain,Brazil,16915,Sectors not specified
Australia,Thailand,11349,Primary education
Spain,Chile,29597,Sectors not specified
Spain,India,150860,Sectors not specified
Spain,Brazil,19196,Teacher training
Spain,Brazil,211405,Urban development and management
Spain,Brazil,13776,Sectors not specified
Spain,India,506763,Sectors not specified
Spain,Chile,70653,Sectors not specified
Spain,Brazil,191962,Education facilities and training
Spain,Colombia,41536,Sectors not specified
Spain,Brazil,247334,Education facilities and training
Spain,Brazil,74264,Sectors not specified
Spain,Chile,16912,Power generation/renewable sources
Spain,Colombia,33825,Sectors not specified
Spain,Colombia,42281,Sectors not specified
Spain,Colombia,599903,Higher education
Spain,Brazil,511874,Education facilities and training
Spain,Colombia,63421,Sectors not specified
Spain,Brazil,165483,Culture and recreation
Spain,Colombia,26481,Sectors not specified
Spain,Brazil,2418,"Agricultural services, purpose"
Spain,Colombia,81493,Sectors not specified
Spain,Colombia,395538,Sectors not specified
Spain,Colombia,54839,Sectors not specified
Spain,Chile,1297,Fishery development
Spain,Brazil,63849,Legal and judicial development
Spain,Brazil,31945,Social/ welfare services
Spain,Brazil,803260,Higher education
Spain,Brazil,233928,Education facilities and training
Spain,Brazil,74521,Transport policy and administrative management
Spain,Brazil,662154,Education facilities and training
Spain,Brazil,352341,Emergency food aid
Spain,Chile,7047,Medical research
Spain,Brazil,6907,Multisector education/training
Spain,Brazil,1589058,Social/ welfare services
Spain,Brazil,98700,Multisector education/training
Spain,Brazil,30256,Teacher training
Spain,Colombia,32554,Sectors not specified
Spain,Colombia,56093,Sectors not specified
Spain,Brazil,7991,Medical research
Spain,Brazil,16912,Business support services and institutions
Spain,Brazil,20859,Agricultural research
Spain,Brazil,31203,Agricultural research
Spain,Brazil,4764,Technological research and development
Spain,Brazil,12402,Social/welfare services
Spain,Brazil,15602,Social/welfare services
Spain,Brazil,5074,Economic and development policy/planning
Spain,Brazil,15602,Medical research
Spain,Brazil,5074,Medical research
Spain,Brazil,73170,Sectors not specified
Spain,Brazil,3101,Forestry research
Spain,Brazil,5074,Medical research
Spain,Brazil,7892,Fishery research
Spain,Brazil,18040,Fishery research
Spain,Brazil,3946,Social/ welfare services
Spain,Brazil,41139,Sectors not specified
Spain,Brazil,36924,Sectors not specified
Spain,Brazil,66055,Sectors not specified
Spain,Brazil,88856,Sectors not specified
Spain,Brazil,101541,Sectors not specified
Spain,Brazil,3523,Strengthening civil society
Spain,Brazil,9020,Air transport
Spain,Brazil,21887,Education/trng in banking & fin. services
Spain,Brazil,142998,Culture and recreation
Spain,Brazil,34257,Medical research
Spain,Brazil,17476,Medical research
Spain,Brazil,102334,Culture and recreation
Spain,Brazil,5074,Social/ welfare services
Spain,Brazil,5391,Multisector education/training
Spain,Brazil,58714,Economic and development policy/planning
Spain,Brazil,14094,Fishery research
Spain,Brazil,5637,Basic life skills for youth and adults
Spain,Brazil,6750,Higher education
Spain,Brazil,1578,Higher education
Spain,Brazil,22550,"Agricultural services, purpose"
Spain,Brazil,4138,Multisector education/training
Spain,Brazil,17640,Multisector education/training
Spain,Brazil,2114,Infectious & Parasitic disease control
Spain,Brazil,23818,Tourism policy and administrative management
Spain,Brazil,124061,Higher education
Spain,Brazil,1621,Agricultural research
Spain,Brazil,9302,Vocational training
Spain,Brazil,29144,Economic and development policy/planning
Spain,Brazil,179,Economic and development policy/planning
Spain,Brazil,704682,Economic and development policy/planning
Spain,Brazil,10401,Business support services and institutions
Spain,Brazil,5074,Higher education
Spain,Brazil,31203,Higher education
Spain,Brazil,10655,Economic and development policy/planning
Spain,Brazil,6117,Economic and development policy/planning
Spain,Brazil,6892,Medical research
Spain,Brazil,7892,Social/ welfare services
Spain,Brazil,7329,Multisector education/training
Spain,Brazil,5724,Multisector education/training
Spain,Brazil,16877,Multisector education/training
Spain,Brazil,127334,Culture and recreation
